time,CO,NO2,SO2
01-Jan,0.907523553,58.60537016,15.63714669
01-Feb,0.928660712,60.26566946,22.80757437
01-Mar,0.611285521,44.26852501,12.4223004
01-Apr,0.503774373,61.79270193,12.43651811
01-May,0.560336472,64.38041723,11.47904443
01-Jun,0.516369957,65.28063976,10.71675939
01-Jul,0.419932705,55.32127858,9.27716015
01-Aug,0.388279569,47.64415328,8.54112903
01-Sep,0.503013888,54.58431947,8.724125006
01-Oct,0.643916554,49.53753694,8.107200528
01-Nov,0.943963837,58.36560495,27.04986089
01-Dec,1.539502018,78.69154798,31.46554509
02-Jan,1.239341397,69.00565867,27.26213704
02-Feb,0.869717261,62.72938981,20.37468751
02-Mar,0.692772543,58.26908489,16.42833107
02-Apr,0.604345403,60.52405301,13.55752088
02-May,0.488532974,46.73952894,10.081144
02-Jun,0.431196105,46.17817802,8.599193326
02-Jul,0.390967742,42.81255368,7.572056447
02-Aug,0.364139784,42.42422045,6.728655925
02-Sep,0.564450625,55.36898477,7.065326835
02-Oct,0.674299191,51.90071437,10.22157681
02-Nov,0.75906815,53.7101252,13.77977746
02-Dec,0.829946234,51.01268817,15.76705645
03-Jan,0.792862903,52.66986555,16.65735211
03-Feb,0.792113095,55.82020836,19.64241075
03-Mar,0.714999997,54.82060772,19.48663191
03-Apr,0.480890125,42.97275383,8.319596662
03-May,0.439421265,43.45834461,5.519528934
03-Jun,0.476142061,49.24086354,6.151169913
03-Jul,0.446949384,54.20243497,7.18554035
03-Aug,0.407715053,48.90865593,7.093709674
03-Sep,0.485541666,51.05383324,7.992194451
03-Oct,0.550390309,46.30259754,9.479811575
03-Nov,0.783286518,49.04721912,16.98269662
03-Dec,1.128989219,56.49886795,22.32948788
04-Jan,1.000296496,53.33039091,17.23762804
04-Feb,0.901151078,53.60387048,17.64303597
04-Mar,0.640498652,45.40400267,13.9588275
04-Apr,0.505453277,37.90170152,8.878786607
04-May,0.472574123,49.84433959,6.119541777
04-Jun,0.383398328,47.47523682,4.181559892
04-Jul,0.368411844,48.67707946,4.749259763
04-Aug,0.339138418,41.13598866,4.613107356
04-Sep,0.471552706,54.3381624,6.776894586
04-Oct,0.561438171,59.34647847,7.458360223
04-Nov,0.9269943,66.93886043,20.97397433
04-Dec,0.806415095,62.44917784,21.97257414
05-Jan,1.002405913,66.85056451,21.33135755
05-Feb,0.696626865,57.6248657,20.78346269
05-Mar,0.567110214,54.86514786,14.98538976
05-Apr,0.456759388,44.4863698,8.963713495
05-May,0.375752688,45.23248651,6.040846771
05-Jun,0.340041724,48.6845619,5.663908208
05-Jul,0.32420699,51.27989269,5.756075273
05-Aug,0.329555257,53.01901614,5.765902964
05-Sep,0.424239887,71.50377959,6.26654115
05-Oct,0.508325282,71.41357472,6.462785836
05-Nov,0.674287902,71.70387443,16.42392038
05-Dec,0.760256064,78.49838279,18.97530997
06-Jan,0.765092988,76.94317595,19.59155937
06-Feb,0.75991058,78.71253353,16.3999255
06-Mar,0.479985795,53.09312504,10.53477273
06-Apr,0.364047288,48.46820579,8.661112661
06-May,0.345551075,50.93068555,10.51462365
06-Jun,0.316930556,51.39887503,8.431555557
06-Jul,0.302530282,56.51570656,8.599932716
06-Aug,0.249193549,38.22063171,9.255645148
06-Sep,0.333722222,58.5638055,9.94769443
06-Oct,0.404018944,56.54698246,9.954506096
06-Nov,0.590292886,62.04246855,16.23260811
06-Dec,0.722258065,66.52030921,20.68275538
07-Jan,0.783445492,63.23041726,21.26248989
07-Feb,0.569125188,63.23828057,16.89681752
07-Mar,0.459959568,35.32163071,17.50092991
07-Apr,0.440612813,40.39866294,10.78210309
07-May,0.345652759,42.44936741,4.144522215
07-Jun,0.314436717,45.28089022,3.777162732
07-Jul,0.262675676,39.05101349,3.901364867
07-Aug,0.249341398,32.98336022,3.982298391
07-Sep,0.300278552,44.34204727,4.612061293
07-Oct,0.402341857,49.19571997,8.825706611
07-Nov,0.647802503,61.40549375,22.56357442
07-Dec,0.767762804,60.64863887,23.04938004
08-Jan,0.613776882,52.13749996,15.21844087
08-Feb,0.615634005,52.86863112,26.10824208
08-Mar,0.401282052,39.85110664,9.533063432
08-Apr,0.353296245,41.78347706,4.501418644
08-May,0.302594087,40.87228494,8.047244628
08-Jun,0.271689944,38.7192039,8.832541888
08-Jul,0.248978495,42.94235217,8.62284947
08-Aug,0.242204301,39.76955647,9.37237902
08-Sep,0.298122392,48.45406112,9.951599441
08-Oct,0.365302826,55.18152087,10.56983848
08-Nov,0.511668984,53.94493751,23.37699585
08-Dec,0.568923282,57.94874831,23.75977118
09-Jan,0.515698924,51.34227151,22.06564517
09-Feb,0.523577844,59.56401213,24.0291317
09-Mar,0.424561404,50.78218626,20.51990556
09-Apr,0.363305555,48.63700008,10.995875
09-May,0.289542396,43.61125175,8.439407808
09-Jun,0.250501393,42.91838437,6.781490241
09-Jul,0.24438172,47.40999999,6.799260762
09-Aug,0.251644205,47.48394877,7.471280326
09-Sep,0.273805555,48.43238884,7.761500002
09-Oct,0.376111869,62.79935879,9.631132335
09-Nov,0.478611111,69.15677766,15.41509722
09-Dec,0.490672043,64.72040324,17.44543012
10-Jan,0.483212365,62.22255372,18.20634411
10-Feb,0.42766369,59.00351185,17.1018304
10-Mar,0.382708895,52.41695408,19.4513612
10-Apr,0.351738526,48.24524339,14.41173854
10-May,0.273844086,36.6569892,7.636263438
